id,violation,plate,location,confidence,severity,status,detected_at
"8e9e8b5b-fe9c-4e71-9268-ef9b9316ed49","Wrong Side","","Ad-hoc submissions","78%","Critical","Pending","2026-06-24T14:42:42.756483+00:00"
"0b46283b-ae28-4fe2-b746-0f571a1c4244","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:41:40.082931+00:00"
"8acb1d86-fe44-4099-92b9-e480a37ad400","No Helmet","KETAKOXL","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:41:08.763132+00:00"
"8d0b08fe-cd7f-40b6-aad5-d5f17ad5842f","No Helmet","KETAKOXL","Ad-hoc submissions","72%","Critical","Pending","2026-06-24T14:41:08.116555+00:00"
"3e6f2e06-e1af-479e-b504-d157c4efd0bb","No Helmet","KETAKOXL","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:41:07.468034+00:00"
"69f4b743-646b-4243-a953-6e9f68051975","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:40:12.199281+00:00"
"bca3c365-d0e8-4b91-872f-f91c13035799","Triple Riding","","Ad-hoc submissions","79%","High","Pending","2026-06-24T14:40:11.836981+00:00"
"5ec6e2dc-95fa-4baf-91e8-49760fe59dd3","Triple Riding","","Ad-hoc submissions","79%","High","Pending","2026-06-24T14:39:39.617321+00:00"
"011ea5f8-4287-4caa-bcfe-2fc9c70fd689","No Helmet","","Ad-hoc submissions","70%","Critical","Pending","2026-06-24T14:39:00.588284+00:00"
"7e0dc232-3148-4df5-9090-cce8d9275e7c","Triple Riding","","Ad-hoc submissions","75%","High","Pending","2026-06-24T14:39:00.239143+00:00"
"881c6c3f-6d83-4bc3-a40f-f4e5df86e74b","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:34:59.739264+00:00"
"68155ff8-49f3-4536-a99d-5a7ec105115b","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:13:57.771505+00:00"
"5720d1ce-88e6-4d84-aeb9-490aad222b46","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:13:48.519979+00:00"
"0c6bcf9f-96e2-430e-a50b-8082b39c1255","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T14:13:39.100191+00:00"
"891a77b7-4487-4125-893f-83bb25a859ca","Wrong Side","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T13:54:58.573859+00:00"
"1510d271-bbbe-4b73-8614-ddf077a2cba2","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T13:54:58.227664+00:00"
"5c250ed3-4a56-4a30-b8b6-65be65f80e61","No Helmet","","Ad-hoc submissions","79%","Critical","Pending","2026-06-24T13:54:57.868827+00:00"